英文,中文(DM),中文(github),中文(内部),日文
Layer4 mask strength,,,,レイヤー4のマスク不透明度
Select or create a model to begin.,,,,開始するモデルを選択または作成する。
Kitchen Theme,,Kitchen 主题,Kitchen 主题,Kitchen Theme
spaceship-cartoon,,,,宇宙船 カートゥーン
Click to Upload,点击上传,点击上传,点击上传,クリックしてアップロード
Y offset (B),Y 偏移 (B),Y 偏移 (B),Y 偏移 (B),
Number of steps for the warmup in the lr scheduler.,学习率调度器中的预热步数,学习率调度器中的预热步数,学习率调度器中的预热步数,
inpaint sketch,局部重绘(有色蒙版),局部重绘(手涂蒙版),局部重绘(手涂蒙版),inpaintスケッチ
"To do this, open file, search for `prevent_thread_lock` add comma, paste in text, save.","具体操作请打开文件并搜索 ""prevent_thread_lock"" ，在结尾添加逗号，粘贴并保存","具体操作请打开文件并搜索 ""prevent_thread_lock"" ，在结尾添加逗号，粘贴并保存","具体操作请打开文件并搜索 ""prevent_thread_lock"" ，在结尾添加逗号，粘贴并保存",
ControlNet v1.1.214,扩散控制网络(ControlNet),,,
Dreambooth,Dreambooth,,,Dreambooth
Float value from 0 to 1,从 0 到 1 的浮点数数值,从 0 到 1 的浮点数数值,从 0 到 1 的浮点数数值,0 から 1 までの浮動小数点数の値
Checkpoint Dropdown,Stable Diffusion 模型(ckpt) 列表,模型(ckpt)列表,模型(ckpt)列表,
Tile overlap for SCUNET upscalers.,,,SCUNET放大时潜变量分块（tile）重叠大小,
Flow method,,,,フローメソッド
Checkpoint format,模型格式,模型(ckpt)格式,模型(ckpt)格式,checkpointのファイル形式
Remove background image,移除背景参考图片,移除背景图片,移除背景图片,
OUT_B_06,,模型B 输出层06,模型B 输出层06,
Start steps,起始迭代步数,起始迭代步数,起始迭代步数,ステップを開始
https://github.com/dfaker/SD-latent-mirroring.git,,,,https://github.com/dfaker/SD-latent-mirroring.git
Get List,获取模型列表,获取列表,获取列表,
(Low values = visible seam),,,（这个值小的话图片可能会有接缝）,
Store frames in ram,,,,フレームをRAMに保存
get: Returns the value of a variable.,,,,get: 変数の値を返します。
"List of model names (with file extension) or their hashes to use as black/whitelist, separated by commas.",模型黑/白名单列表（用于区分自然语言模型，填入模型哈希值或其文件名（带后缀），逗号分隔）,模型黑/白名单列表（用于区分自然语言模型，填入模型哈希值或其文件名（带后缀），逗号分隔）,模型黑/白名单列表（用于区分自然语言模型，填入模型哈希值或其文件名（带后缀），逗号分隔）,ブラックリストもしくはホワイトリストとして使用するモデル名(拡張子付き)もしくはハッシュ値のリスト(カンマ区切り)
Seed iter N,,,,Seed iter N
ControlNet v1.1.218,扩散控制网络(ControlNet),,,
"Inspect any token(a word) or Textual-Inversion embeddings and find out which embeddings are similar. You can mix, modify, or create the embeddings in seconds.",,,,任意のトークン(単語) またはTextual-Inversionの埋め込みを検査し、どの埋め込みが類似しているかを調べることができます。Embeddingsの混合、修正、作成は数秒で可能です。
Unload all interrogate models,卸载显存中所有反推模型(使用完毕后请务必卸载，反推模型将占用大量宝贵显存),卸载显存中所有反推模型(使用完毕后请务必卸载，反推模型将占用大量宝贵显存),卸载显存中所有反推模型(使用完毕后请务必卸载，反推模型将占用大量宝贵显存),すべてのインタロゲートモデルをアンロードする
Update Mask,,,刷新蒙版,
left-to-right,,,,左から右へ
Duration,持续时间,持续时间,持续时间,
DIS Medium,,,,DIS 中
special,,,,特別
Scan Models for Civitai,扫描模型在 Civitai 上的信息,扫描模型,扫描模型,
Mode to add the extra tags to the main tag list,将额外标记添加到主标记列表的模式,将额外标记添加到主标记列表的模式,将额外标记添加到主标记列表的模式,メインタグリストに追加するモード
Allow the default Euler a Sampling method. (Does not produce good results),允许使用默认的 Eular a 采样方法. (通常不会出漂亮的结果),允许使用默认的 Eular a 采样方法. (通常不会出漂亮的结果),允许使用默认的 Eular a 采样方法. (通常不会出漂亮的结果),デフォルトの Euler a サンプルアルゴリズムを許可します。(良い結果にはなりません)
Path to directory with input images,带有输入图像的目录路径,带有输入图像的目录路径,带有输入图像的目录路径,入力画像のあるディレクトリへのパス
km,,,,km
https://discord.com/api/webhooks/XXX/XXXX,,,,https://discord.com/api/webhooks/XXX/XXXX
Japanese localization,,,,日本語翻訳
* check your CLI for outputs,,,,* CLIの出力を確認してください
Upscale V1,,,,上位スケール V1
ky,,,,ky
Import Model from Huggingface Hub,自 Huggingface Hub 载入模型,自 Huggingface Hub 载入模型,自 Huggingface Hub 载入模型,
Directory for temporary images; leave empty for default,临时图像目录，默认为空,临时图像目录，默认为空,临时图像目录，默认为空,一時的なイメージのためのディレクトリ、デフォルトでは空
Minimum score,,,最小分数,
Leave blank to use base model VAE.,留空以使用基底模型的 VAE,留空以使用基底模型的 VAE,留空以使用基底模型的 VAE,ベースモデルVAEを使用する場合は空白のままにしてください。
mocha,mocha/摩卡（深色-暗）,mocha/摩卡（深色-暗）,mocha/摩卡（深色-暗）,
(select Disco output format).,,,,(Disco出力フォーマットを選択)。
"Save an image to log directory every N steps, 0 to disable",每 N 步保存一张图像到日志目录，0 表示禁用,每 N 步保存一张图像到日志目录，0 表示禁用,每 N 步保存一张图像到日志目录，0 表示禁用,指定したステップ数ごとに画像を生成し、ログに保存する。0で無効化。
Load Params,载入参数,载入参数,载入参数,
Expand Mask,拓展蒙版,,外扩蒙版,
EMA (positive),EMA (正),EMA (正),EMA (正),EMA（ポジティブ）
Append comma on tag autocompletion,自动添加逗号,自动添加逗号,自动添加逗号,タグの自動補完時にカンマを追加
ControlNet Unit 3,控制单元 3,,ControlNet单元3,
hires_steps,,,,高解像度ステップ数
Upscale Ratio,放大比例,放大比例,放大比例,
Crop and Resize,剪裁引导图像,,裁剪缩放,
Make LoRA (alpah * A - beta * B),从ckpt差值提取LoRA（A×α - B×β）,,,
ControlNet v1.1.110,扩散控制网络(ControlNet),,,
Images to use for keyframe guidance,,,,キーフレームガイダンスに使用する画像
"Can be empty, indicating no translation",可以留空以表示不翻译,,,
Diffusion Defender,,,,Diffusion Defender
point1 y,,,,点1_縦
Stable Horde Client,,,,Stable Horde Client
directory.,目录,目录,目录,
Layer1 mask blur,,,,Layer1 マスクのぼかし
Black outfill,填黑,填黑,填黑,黒い塗りつぶし
Merge Block Weighted,模型合并(分层加权),模型合并(分块加权),模型合并(分块加权),Merge Block Weighted
OUT00,,输出层00,输出层00,
"Prompt, will be appended to your i2i prompt",输入区域提示词(Prompt),,,
Functions,,,,機能
{{1-$$and$$__adjective__}},{{1-3$$and$$__adjective__}},{{1-3$$and$$__adjective__}},{{1-3$$and$$__adjective__}},{{1-$$and$$__adjective__}}
Save original image,,,保存原图,
"If you liked this extension, please",,,,この拡張機能を気に入っていただけた場合は、
Noise type,,,,ノイズの種類
https://github.com/ThereforeGames/unprompted.git,,,,https://github.com/ThereforeGames/unprompted.git
ControlNet v1.1.298,扩散控制网络(ControlNet),,,
Don't use LoRA in uc if there're no subprompts,无 子提示词(sub prompt) 时不将 LoRA 应用于负面提示词,,,
Fuse Strength,,,,Fuse Strength
Entire Caption,整个图片注释,,,全体のキャプション
Use depth warping,,,,深度ワーピングを使用する
Example Function,,,,関数例
Hide extensions with tags,隐藏含有以下标签的扩展,隐藏含有以下标签的扩展,隐藏含有以下标签的扩展,タグで拡張機能を隠す
Apply inside mask only,,,只重建面部本身（否则会重建包含面部的正方形）,
Colorfillquaternary,Colorfillquaternary,,,
Interrogate: maximum description length,最大描述长度,最大描述长度,最大描述长度,インタロゲート: 説明の最大長
dog-digipa-med-impact,,,,犬-digipa中インパクト
Colorprimarybghover,Colorprimarybghover,,,
Reset Camera,重置镜头,重置镜头,重置镜头,
Onnx model filename,,,Onnx模型名称,
Show HeatMap,,,,ヒートマップを表示
ControlNet v1.1.251,扩散控制网络(ControlNet),,,
Sample Batch Size,,,,サンプルのバッチサイズ
Sample steps,样本迭代步数,样本迭代步数,样本迭代步数,
mk,,,,mk
ha,,,,ha
beta,β 值,,,
Checkpoint,,,,Checkpoint
Cutoff Enabled,,,,Cutoff 有効化
Batching,,,,バッチ処理
Colortextquaternary,Colortextquaternary,,,
filter out those tags from deepbooru output (separated by comma),从deepdanbooru的标签库中过滤掉以下标签，用逗号分隔,从deepdanbooru的标签库中过滤掉以下标签，用逗号分隔,从deepdanbooru的标签库中过滤掉以下标签，用逗号分隔,deepbooruの出力からこれらのタグを除外する(カンマで区切る)
The number of prompts to generate per batch. Increasing this can speed up prompt generation at the expense of slightly increased VRAM usage.,,,,バッチごとに生成するプロンプトの数。これを増やすと、VRAMの使用量がわずかに増加する代わりに、プロンプトの生成が高速化されます。
Search Text,检索文本,,,テキストを検索
Mask contrast adjust,,,,マスクのコントラスト調整
Video to extract frames from:,要从中提取帧的视频：,要从中提取帧的视频：,要从中提取帧的视频：,フレームを抽出するビデオを指定する：
Check Progress,,,,進行状況を確認
https://github.com/aria1th/Hypernetwork-MonkeyPatch-Extension.git,,,,https://github.com/aria1th/Hypernetwork-MonkeyPatch-Extension.git
Grid row count; use -1 for autodetect and 0 for it to be same as batch size,宫格图行数； 使用 -1 进行自动检测，使用 0 使其与每批数量相同,宫格图行数； 使用 -1 进行自动检测，使用 0 使其与每批数量相同,宫格图行数； 使用 -1 进行自动检测，使用 0 使其与每批数量相同,グリッドの列数; -1で自動設定、0でバッチ生成回数と同じにする
